"id";"uri";"siglaTipo";"numero";"ano";"idTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_url"
"13350";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13350";"MSC";"1245";"2000";"134";"Mensagem";"Submete à consideração do Congresso Nacional, o texto do Ajuste Complementar ao convênio Básico de Cooperação Técnica para Cooperação Turística, celebrado entre o Governo da República Federativa do Brasil e o Governo da República Bolivariana da Venezuela, em Caracas, em 8 de fevereiro de 2000 e de sua Emenda, por Troca de Notas, concluída em 11 de julho de 2000.";"";"Solicitação, apreciação, ato internacional, Ajuste Complementar ao convênio Básico de Cooperação Técnica para Cooperação Turística, Emenda, Troca de Notas,  incentivo, serviços turísticos, atividade turística, País, Brasil, País Estrangeiro, Venezuela.";"2000-09-11T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=20567";"";"2001-03-30T00:00:00";"6";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Encaminhamento";"180";"Transformado em nova proposição";"1230";"Encaminhado à CCP";""
"13355";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13355";"MSC";"1309";"2000";"134";"Mensagem";"Submete à consideração do Congresso Nacional solicitação de aprovação para fazer a declaração facultativa prevista no artigo 14 da Convenção Internacional sobre a Eliminação de Todas as Formas de Discriminação Racial, reconhecendo a competência do Comitê sobre a Eliminação da Discriminação Racial para receber e analisar denúncias de violações dos direitos humanos cobertos na Convenção.";"";"SOLICITAÇÃO, APRECIAÇÃO, ATO INTERNACIONAL, APROVAÇÃO, FACULTATIVIDADE, DECLARAÇÃO, CONVENÇÃO INTERNACIONAL SOBRE ELIMINAÇÃO DE TODAS AS FORMAS DE DISCRIMINAÇÃO RACIAL, RECONHECIMENTO, COMPETENCIA, COMITE, RECEBIMENTO, DENUNCIA, VIOLAÇÃO, DIREITOS HUMANOS.";"2000-09-21T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=51906";"";"2001-04-04T00:00:00";"10";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Transformada em Nova Proposição";"469";"Transformado em nova proposição";"1230";"Transformado no PDC 895/2001";""
"13359";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13359";"MSC";"1357";"2000";"134";"Mensagem";"Submete à consideração do Congresso Nacional o texto do Acordo sobre Cooperação no Campo da Sanidade Veterinária, celebrado entre o Governo da República Federativa do Brasil e o Governo da Romênia, em Brasília, em 25 de julho de 2000.";"";"SOLICITAÇÃO, APRECIAÇÃO, ATO INTERNACIONAL, ACORDO INTERNACIONAL, COOPERAÇÃO TECNICA, SANIDADE ANIMAL, VETERINARIA, COMERCIO, PRODUTO ANIMAL, REDUÇÃO, RISCOS, DOENÇA ANIMAL, REPRODUÇÃO ANIMAL, PAIS, BRASIL, PAIS ESTRANGEIRO, ROMENIA.";"2000-09-26T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=46743";"";"2001-03-30T00:00:00";"6";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Encaminhamento";"180";"Transformado em nova proposição";"1230";"Encaminhado à CCP";""
"13363";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13363";"MSC";"1360";"2000";"134";"Mensagem";"SUBMETE À APRECIAÇÃO DO CONGRESSO NACIONAL O ATO CONSTANTE DA PORTARIA Nº 512, DE 23 DE AGOSTO DE 2000, QUE DECLARA A PEREMPÇÃO DA PERMISSÃO OUTORGADA À RÁDIO VALE DO JIQUIRIÇÁ LTDA, PARA EXPLORAR SERVIÇO DE RADIODIFUSÃO SONORA EM ONDA MÉDIA LOCAL,
NA CIDADE DE JIQUIRIÇÁ, ESTADO DA BAHIA.";"";"Solicitação, declaração, perempção, radiodifusão, emissora, rádio, Município, Jiquiriça, (BA).";"2000-09-26T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=51876";"";"2010-06-23T00:00:00";"5";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Notificação de Despacho";"203";"Transformado em nova proposição";"1230";"Consoante o disposto no Parecer nº 9-A, de 1990, da Comissão de Constituição e Justiça e de Redação, que ""dispõe sobre os atos de outorga ou renovação de concessão, permissão e autorização para o serviço de rádio e difusão sonora e de sons e imagens"", a matéria, quando se tratar de atos do Poder Executivo negativos de renovação, deverá ser apreciado pelo Plenário. 
Ante o exposto, esclareço que as proposições seguintes devem tramitar sujeitas à apreciação do Plenário: PDCs nºs 740/98, 989/01, 1172/01, 1518/01, 1603/02,  1897/02, 1660/05, 1802/05, 1876/05, 1877/05, 359/07, 1995/09, 2186/09; TVRs nºs 94/00, 300/00, 1042/01, 1044/01, 1045/01, 46/07, 1597/09, 1946/09, 1947/09, 1948/09, 2096/10, e MSCs nºs  582/96, 951/00, 1360/00, 759/01, 123/02, 67/04, 68/04, 32/05, 722/09 724/09, 85/10.  Publique-se. 
DCD de 24/06/10 PÁG 30175 COL 02.";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=824303"
"13367";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13367";"MSC";"1412";"2000";"134";"Mensagem";"Submete à consideração do Congresso Nacional o texto do Tratado sobre as Relações de Parceria, celebrado entre a República Federativa do Brasil e a Federação da Rússia, em Moscou, em 22 de junho de 2000.";"";"SOLICITAÇÃO, APRECIAÇÃO, ATO INTERNACIONAL, TRATADO, PARCERIA, AREA, DESARMAMENTO, CONTROLE, ARMAMENTO, CRIME ORGANIZADO, TRAFICO INTERNACIONAL, TOXICO, COOPERAÇÃO ECONOMICA, COOPERAÇÃO CULTURAL, COMERCIO, TECNOLOGIA, MEIO AMBIENTE,  PAIS, BRASIL, PAIS
ESTRANGEIRO, RUSSIA.";"2000-10-03T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=46749";"";"2001-03-30T00:00:00";"8";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Encaminhamento";"180";"Transformado em nova proposição";"1230";"Encaminhado à CCP";""
"13368";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13368";"MSC";"1413";"2000";"134";"Mensagem";"Submete à consideração do ao Congresso Nacional, o texto do Acordo sobre Cooperação nas Àreas da Proteção de Plantas e da Quarentena Vegetal, celebrado entre o Governo da República Federativa do Brasil e o Governo da Romênia, em Brasília, em 25 de julho de 2000.";"";"SOLICITAÇÃO, APRECIAÇÃO, ATO INTERNACIONAL, ACORDO INTERNACIONAL, COOPERAÇÃO TECNICA, PROTEÇÃO, VEGETAIS, QUARENTENA, PRODUTO VEGETAL, COMBATE À  PRAGA, DOENÇA DE PLANTA, DEFESA, INSPEÇÃO FITOSSANITARIA, COMERCIO, SEMENTE, PAIS, BRASIL, PAIS
ESTRANGEIRO, ROMENIA.";"2000-10-03T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=46757";"";"2001-03-30T00:00:00";"7";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Encaminhamento";"180";"Transformado em nova proposição";"1230";"Encaminhado à CCP";""
"13370";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13370";"MSC";"1414";"2000";"134";"Mensagem";"Submete à consideração do Congresso Nacional, o texto do Acordo entre o Governo da República Federativa do Brasil e o Governo da Federação da Rússia sobre Cooperação na Área da Quarentena Vegetal, celebrado em Moscou, em 22 de junho de 2000.";"";"SOLICITAÇÃO, APRECIAÇÃO, ATO INTERNACIONAL, ACORDO INTERNACIONAL, COOPERAÇÃO TECNICA, PROTEÇÃO, VEGETAIS, QUARENTENA, PRODUTO VEGETAL, COMBATE À PRAGA, DOENÇA DE PLANTA, DEFESA, INSPEÇÃO FITOSSANITARIA, COMERCIO, SEMENTE, PAIS, BRASIL, PAIS
ESTRANGEIRO, RUSSIA.";"2000-10-03T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=46763";"";"2001-03-30T00:00:00";"8";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Encaminhamento";"180";"Transformado em nova proposição";"1230";"Encaminhado à CCP";""
"13381";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13381";"MSC";"1442";"2000";"134";"Mensagem";"Submete à consideração do Congresso Nacional, o texto dos Atos Finais da Conferência de Plenipotenciários, Minneapolis, 1998, que alteram Constituição e a Convenção da UIT.";"CONVENÇÃO DA UNIÃO INTERNACIONAL DE TELECOMUNICAÇÕES.";"SOLICITAÇÃO, APRECIAÇÃO, CONGRESSO NACIONAL, ATO INTERNACIONAL, CONFERENCIA INTERNACIONAL, MINISTRO PLENIPOTENCIARIO, EMENDA, ALTERAÇÃO, CRIAÇÃO, CONVENÇÃO, (UIT), TELECOMUNICAÇÃO, ASSINATURA, PAIS, BRASIL.";"2000-10-17T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=44549";"";"2001-05-17T00:00:00";"12";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Transformada em Nova Proposição";"469";"Transformado em nova proposição";"1230";"Transformada em PDC 952/2001";""
"13399";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13399";"MSC";"1677";"2000";"134";"Mensagem";"Submete à consideração do Congresso Nacional o texto do Acordo sobre Serviços Aéreos entre o Governo da República Federativa do Brasil e o Governo da Republica da Polônia, assinado na cidade do Rio de Janeiro, no dia 13 de março de 2000.";"";"";"2000-11-16T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=45003";"";"2001-06-06T00:00:00";"14";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Transformada em Nova Proposição";"469";"Transformado em nova proposição";"1230";"Transformado no PDC 1041/2001";""
"13400";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/13400";"MSC";"1678";"2000";"134";"Mensagem";"Submete à consideração do Congresso Nacional o texto da Convenção Interamericana sobre Transparência nas Aquisições de Armas Convencionais, aberta a assinaturas na cidade da Guatemala, em 7 de junho de 1999, por ocasião do Vigésimo-Nono Período Ordinário de Sessões da Assembléia-Geral da Organização dos Estados Americanos.";"";"SOLICITAÇÃO, APRECIAÇÃO, ATO INTERNACIONAL, ACORDO INTERNACIONAL, TRANSPARENCIA ADMINISTRATIVA, AQUISIÇÃO, ARMA, RELATORIO, IMPORTAÇÃO, EXPORTAÇÃO, ARMAMENTO, ASSINATURA, PAIS, BRASIL, ASSEMBLEIA GERAL, (OEA), PAIS ESTRANGEIRO, GUATEMALA.";"2000-11-14T00:00:00";"";"";"";"";"http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=54984";"";"2001-06-22T00:00:00";"8";"";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Ordinária (Art. 151, III, RICD)";"Encaminhamento";"180";"Transformado em nova proposição";"1230";"Encaminhado à CCP";""
